
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","17.3","No Different than U.S. National Rate","13.7","21.7","33","","11.8","No Different than U.S. National Rate","8.8","15.7","95","","9.9","No Different than U.S. National Rate","7.4","13.1","150","","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.6","No Different than U.S. National Rate","18.7","27.0","128","","17.7","No Different than U.S. National Rate","14.5","21.4","183",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.1","No Different than U.S. National Rate","8.8","16.6","70","","14.7","No Different than U.S. National Rate","10.8","20.1","116","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.1","No Different than U.S. National Rate","21.4","31.4","77","","17.1","No Different than U.S. National Rate","13.6","21.3","112",""
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","17.8","No Different than U.S. National Rate","14.7","21.5","312","","11.8","No Different than U.S. National Rate","9.3","14.7","387","","14.3","No Different than U.S. National Rate","10.9","18.1","203","","21.7","No Different than U.S. National Rate","18.4","25.2","379","","24.0","No Different than U.S. National Rate","21.0","27.1","531","","21.9","No Different than U.S. National Rate","18.1","25.9","214",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","17.5","No Different than U.S. National Rate","14.2","21.2","200","","10.2","No Different than U.S. National Rate","8.1","12.6","449","","14.7","Worse than U.S. National Rate","12.3","17.5","354","","19.0","No Different than U.S. National Rate","15.7","22.6","208","","23.8","No Different than U.S. National Rate","21.0","26.9","533","","20.2","No Different than U.S. National Rate","17.1","23.6","358",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","15.4","No Different than U.S. National Rate","12.3","19.2","84","","8.8","No Different than U.S. National Rate","6.5","11.8","180","","10.3","No Different than U.S. National Rate","7.5","14.2","115","","20.1","No Different than U.S. National Rate","16.2","24.7","56","","25.1","No Different than U.S. National Rate","21.2","29.3","220","","19.5","No Different than U.S. National Rate","15.7","23.9","113",""
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.0","No Different than U.S. National Rate","8.5","16.2","89","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.4","No Different than U.S. National Rate","19.2","30.4","25","","17.2","No Different than U.S. National Rate","13.5","21.8","90",""
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","16.3","No Different than U.S. National Rate","13.1","19.9","275","","12.9","No Different than U.S. National Rate","10.5","15.5","619","","12.1","No Different than U.S. National Rate","9.3","15.5","251","","21.9","No Different than U.S. National Rate","18.6","25.5","321","","25.2","No Different than U.S. National Rate","22.6","27.9","780","","14.9","Better than U.S. National Rate","12.1","18.4","260",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.4","No Different than U.S. National Rate","7.3","15.1","56","","13.9","No Different than U.S. National Rate","10.1","19.1","89","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.7","No Different than U.S. National Rate","21.1","30.9","76","","19.4","No Different than U.S. National Rate","15.7","23.6","105",""
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","15.0","No Different than U.S. National Rate","11.7","18.9","206","","12.5","No Different than U.S. National Rate","10.0","15.7","371","","12.7","No Different than U.S. National Rate","10.1","15.9","316","","20.3","No Different than U.S. National Rate","17.0","23.9","262","","25.7","No Different than U.S. National Rate","22.7","28.9","512","","20.6","No Different than U.S. National Rate","17.4","24.0","343",""
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","17.1","No Different than U.S. National Rate","13.4","21.1","25","","12.3","No Different than U.S. National Rate","9.2","16.2","98","","11.6","No Different than U.S. National Rate","8.5","15.4","101","","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.8","No Different than U.S. National Rate","20.5","29.6","115","","18.1","No Different than U.S. National Rate","14.3","22.4","111",""
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","17.1","No Different than U.S. National Rate","13.7","21.2","128","","12.1","No Different than U.S. National Rate","9.6","14.8","360","","12.1","No Different than U.S. National Rate","9.8","14.8","415","","18.4","No Different than U.S. National Rate","14.8","22.5","99","","24.9","No Different than U.S. National Rate","21.7","28.2","441","","17.1","No Different than U.S. National Rate","14.5","20.2","432",""
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.1","No Different than U.S. National Rate","7.6","13.5","183","","11.1","No Different than U.S. National Rate","8.3","14.6","232","","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.3","No Different than U.S. National Rate","21.4","29.5","223","","20.8","No Different than U.S. National Rate","17.1","24.8","253",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","16.4","No Different than U.S. National Rate","12.4","21.6","84","","12.0","No Different than U.S. National Rate","9.1","15.6","205","","12.0","No Different than U.S. National Rate","9.1","15.6","228","","20.3","No Different than U.S. National Rate","16.2","24.9","65","","24.4","No Different than U.S. National Rate","20.7","28.7","232","","18.1","No Different than U.S. National Rate","14.9","21.7","250",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","15.2","No Different than U.S. National Rate","13.2","17.6","1035","","12.4","No Different than U.S. National Rate","10.9","14.1","1438","","14.1","Worse than U.S. National Rate","12.2","16.1","920","","18.2","No Different than U.S. National Rate","16.2","20.4","1162","","23.5","No Different than U.S. National Rate","21.7","25.4","1734","","17.5","No Different than U.S. National Rate","15.5","19.8","936",""
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","16.7","No Different than U.S. National Rate","13.2","20.9","228","","10.7","No Different than U.S. National Rate","8.5","13.4","385","","14.6","No Different than U.S. National Rate","11.9","17.9","424","","21.7","No Different than U.S. National Rate","18.0","25.9","219","","24.8","No Different than U.S. National Rate","21.7","28.1","471","","19.5","No Different than U.S. National Rate","16.6","22.6","459",""
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.5","No Different than U.S. National Rate","8.2","16.2","39","","11.2","No Different than U.S. National Rate","7.8","15.6","59","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.8","No Different than U.S. National Rate","19.4","29.2","47","","18.7","No Different than U.S. National Rate","14.9","23.1","78",""
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Not Available","Number of Cases Too Small","Not Available","Not Available","8","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.5","No Different than U.S. National Rate","8.2","15.9","69","","10.0","No Different than U.S. National Rate","7.2","13.7","222","","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.3","No Different than U.S. National Rate","20.9","30.3","86","","19.4","No Different than U.S. National Rate","15.8","23.5","244",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","16.7","No Different than U.S. National Rate","13.1","21.0","36","","11.7","No Different than U.S. National Rate","8.7","15.5","104","","12.9","No Different than U.S. National Rate","10.0","16.5","199","","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.1","No Different than U.S. National Rate","19.0","27.6","123","","18.5","No Different than U.S. National Rate","15.1","22.2","203",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","16.9","No Different than U.S. National Rate","13.5","21.1","150","","10.8","No Different than U.S. National Rate","8.6","13.6","383","","12.7","No Different than U.S. National Rate","10.0","16.0","376","","20.2","No Different than U.S. National Rate","16.4","24.4","145","","27.0","No Different than U.S. National Rate","23.7","30.4","456","","20.1","No Different than U.S. National Rate","17.1","23.4","393",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","14.5","No Different than U.S. National Rate","11.2","18.3","40","","10.8","No Different than U.S. National Rate","7.7","14.7","70","","11.3","No Different than U.S. National Rate","8.1","15.4","104","","20.6","No Different than U.S. National Rate","16.3","25.4","31","","28.2","No Different than U.S. National Rate","23.5","33.3","103","","20.1","No Different than U.S. National Rate","16.3","24.9","120",""
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","16.6","No Different than U.S. National Rate","12.7","21.7","33","","12.9","No Different than U.S. National Rate","9.8","16.8","154","","12.9","No Different than U.S. National Rate","9.8","16.9","182","","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.2","No Different than U.S. National Rate","20.3","28.5","192","","20.2","No Different than U.S. National Rate","16.6","24.4","190",""
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Not Available","Number of Cases Too Small","Not Available","Not Available","23","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.0","No Different than U.S. National Rate","9.5","17.6","71","","15.3","No Different than U.S. National Rate","11.7","19.7","153","","Not Available","Number of Cases Too Small","Not Available","Not Available","12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.8","No Different than U.S. National Rate","22.2","32.3","76","","16.7","No Different than U.S. National Rate","13.6","20.5","174",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.2","No Different than U.S. National Rate","7.6","16.2","34","","11.5","No Different than U.S. National Rate","7.9","16.6","38","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","28.2","No Different than U.S. National Rate","22.8","34.3","45","","19.0","No Different than U.S. National Rate","14.5","24.3","39",""
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.9","No Different than U.S. National Rate","7.6","15.6","38","","10.8","No Different than U.S. National Rate","7.4","16.0","72","","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.9","No Different than U.S. National Rate","20.3","30.0","54","","19.1","No Different than U.S. National Rate","15.4","23.6","83",""
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","15.8","No Different than U.S. National Rate","12.3","20.1","27","","10.5","No Different than U.S. National Rate","8.0","13.6","219","","11.9","No Different than U.S. National Rate","9.0","15.6","214","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.1","No Different than U.S. National Rate","21.6","29.0","291","","20.2","No Different than U.S. National Rate","16.9","23.8","257",""
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","15.2","No Different than U.S. National Rate","12.2","18.8","315","","12.0","No Different than U.S. National Rate","9.7","14.7","518","","11.3","No Different than U.S. National Rate","9.0","14.0","419","","19.2","No Different than U.S. National Rate","15.9","22.9","333","","23.1","No Different than U.S. National Rate","20.2","26.2","627","","18.8","No Different than U.S. National Rate","15.8","22.1","434",""
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","16.2","No Different than U.S. National Rate","12.9","19.8","233","","10.6","No Different than U.S. National Rate","8.5","13.0","499","","12.6","No Different than U.S. National Rate","10.2","15.2","524","","19.3","No Different than U.S. National Rate","16.1","23.2","250","","26.8","No Different than U.S. National Rate","23.7","30.1","586","","19.5","No Different than U.S. National Rate","16.7","22.7","499",""
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","14.0","No Different than U.S. National Rate","10.0","19.1","27","","13.6","No Different than U.S. National Rate","9.5","18.9","53","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.9","No Different than U.S. National Rate","19.5","29.4","33","","18.1","No Different than U.S. National Rate","14.3","23.1","51",""
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","15.6","No Different than U.S. National Rate","12.1","19.6","34","","9.9","No Different than U.S. National Rate","6.9","13.8","85","","9.8","No Different than U.S. National Rate","7.2","13.3","161","","20.2","No Different than U.S. National Rate","16.5","24.5","34","","28.2","No Different than U.S. National Rate","23.5","33.3","105","","21.4","No Different than U.S. National Rate","17.6","25.2","179",""
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","15.0","No Different than U.S. National Rate","11.3","19.4","35","","13.4","No Different than U.S. National Rate","10.1","17.3","154","","12.9","No Different than U.S. National Rate","10.4","15.8","459","","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.9","No Different than U.S. National Rate","22.7","31.7","165","","19.4","No Different than U.S. National Rate","16.7","22.5","489",""
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.6","No Different than U.S. National Rate","7.8","14.2","101","","12.3","No Different than U.S. National Rate","9.4","16.1","211","","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.8","No Different than U.S. National Rate","18.6","27.4","113","","18.9","No Different than U.S. National Rate","15.5","22.6","235",""
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","17.1","No Different than U.S. National Rate","13.2","21.5","81","","11.6","No Different than U.S. National Rate","9.0","15.2","159","","14.9","No Different than U.S. National Rate","11.6","18.8","183","","20.4","No Different than U.S. National Rate","16.3","25.2","74","","22.9","No Different than U.S. National Rate","19.2","27.1","208","","16.9","No Different than U.S. National Rate","13.8","20.7","207",""
